word	phonetic	chinese	english
mentor	'mentɔ:	n. 指导者, 良师益友	n. a wise and trusted guide and advisor / v. serve as a teacher or trusted counselor
menu	'menju:	n. 菜单, (功能)选择单；菜单	n. a list of dishes available at a restaurant / n. the dishes making up a meal / n. (computer science) a list of options available to a computer user
merchandise	'mә:tʃәndaiz	n. 商品, 货物；v. 交易, 买卖	n. commodities offered for sale
merchant	'mә:tʃәnt	n. 商人, 店主；a. 商业的, 商人的	n. a businessperson engaged in retail trade
mercury	'mә:kjuri	n. 水银, 汞, 使者；汞Hg	n. a heavy silvery toxic univalent and bivalent metallic element; the only metal that is liquid at ordinary temperatures / n. (Roman mythology) messenger of Jupiter and god of commerce; counterpart of Greek Hermes / n. the smallest planet and the nearest to the sun
mercy	'mә:si	n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运；权宜处置权, 决定权, 宽恕	n. something for which to be thankful / n. alleviation of distress; showing great kindness toward the distressed
mere	miә	n. 小湖, 池塘；a. 仅仅的, 只不过的	n. a small pond of standing water / s. being nothing more than specified
merely	'miәli	adv. 只	r. and nothing more
merge	mә:dʒ	vt. 使合并, 使消失, 吞没；vi. 合并, 渐渐消失；合并	v become one / v mix together different elements / v join or combine
merger	'mә:dʒә	n. 合并, 归并；购并	n the combination of two or more commercial companies / n an occurrence that involves the production of a union
merit	'merit	n. 优点, 功绩, 价值, 功过, 真相；vt. 值得；vi. 应受	n. any admirable quality or attribute
merry	'meri	a. 快乐的, 愉快的, 嬉戏作乐的	s full of or showing high-spirited merriment / s offering fun and gaiety / s quick and energetic
mesh	meʃ	n. 网孔, 网丝, 网眼, 网状物, 圈套, 陷阱, 啮合；vt. 以网捕捉, 啮合, 使缠住；vi. 落网, 相啮合	n. the number of openings per linear inch of a screen; measures size of particles / n. the act of interlocking or meshing / v. work together in harmony
mess	mes	n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境；vt. 将...弄糟, 妨碍, 使紊乱, 使就餐；vi. 陷入困境, 搞乱, 用膳	n. a state of confusion and disorderliness / n. soft semiliquid food / n. a meal eaten in a mess hall by service personnel
message	'mesidʒ	n. 消息, 通讯, 讯息, 教训, 预言, 广告词；vt. 通知；vi. 通报, 报告, 报信	n. a communication (usually brief) that is written or spoken or signaled / n. what a communication that is about something is about / v. send a message to
messenger	'mesindʒә	n. 报信者, 使者；使者, 送信者, 通信员	n. a person who carries a message
messy	'mesi	a. 散乱的, 污秽的, 麻烦的	s. dirty and disorderly
metal	'metәl	n. 金属, 金属制品, 合金, 本质, 质料；a. 金属制的；vt. 以金属覆盖	v. cover with metal
metaphor	'metәfә	n. 隐喻	n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
meter	'mi:tә	n. 米, 公尺, 仪表, 计量器；vt. 以仪表计量	n. the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards) / n. any of various measuring instruments for measuring a quantity / n. (prosody) the accent in a metrical foot of verse
method	'meθәd	n. 方法, 办法, 条理, 秩序；法	n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)
methodist	'meθәdist	n. 墨守成规者	n. a follower of Wesleyanism as practiced by the Methodist Church / a. of or pertaining to or characteristic of the branch of Protestantism adhering to the views of Wesley
methodology	.meθә'dɒlәdʒi	n. 方法学, 方法论；操作法; 工艺	n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline / n. the system of methods followed in a particular discipline
metro	'metrәu	n. 地铁	n. an electric railway operating below the surface of the ground (usually in a city)
metropolitan	.metrә'pɒlitn	n. 大都市居民, 都主教, 宗主国的公民；a. 大都市的, 都主教区的, 宗主国的	n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity / n. a person who lives in a metropolis / a. relating to or characteristic of a metropolis
Mexican	'meksikәn	n. 墨西哥人, 墨西哥语；a. 墨西哥的	n. a native or inhabitant of Mexico / a. of or relating to Mexico or its inhabitants
microphone	'maikrәfәun	n. 扩音器, 麦克风；扩音器, 传声器	n. device for converting sound waves into electrical energy
microwave	'maikrәuweiv	n. 微波；微波	n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data / n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food / v. cook or heat in a microwave oven
mid	mid	a. 中间的, 中央的, 中部的；prep. 在...之中	s. used in combination to denote the middle
middle	'midl	n. 中央, 中间, 腰部；a. 中央的, 中庸的, 中间的	n. an intermediate part or section / n. the middle area of the human torso (usually in front) / n. time between the beginning and the end of a temporal period
midnight	'midnait	n. 午夜, 子夜, 半夜；a. 午夜的, 半夜的	n. 12 o'clock at night; the middle of the night
midst	midst	n. 中间；prep. 在...中间	n. the location of something surrounded by other things
might	mait	n. 力量, 权力；aux. 可能, 也许	n. physical strength
mighty	'maiti	n. 有势力的人；a. 有势力的, 强大的, 有力的；adv. 很, 极	s. having or showing great strength or force or intensity / r. (Southern regional intensive) very; to a great degree
migrant	'maigrәnt	n. 候鸟, 移居者；移居者	n. traveler who moves from one region or country to another / s. habitually moving from place to place especially in search of seasonal work
migrate	'maigreit	vi. 移动, 移往, 随季节而移居；迁移程序	v. move from one country or region to another and settle there / v. move periodically or seasonally
migration	mai'greiʃәn	n. 移民, 移往, 移动；迁移	n. the movement of persons from one country or locality to another / n. a group of people migrating together (especially in some given time period) / n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule
mild	maild	a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的；轻的, 缓和的	a. moderate in type or degree or effect or force; far from extreme
militant	'militәnt	a. 好战的	n. a militant reformer / s. disposed to warfare or hard-line policies
military	'militәri	n. 军队；a. 军事的, 军人的, 适于战争的	n. the military forces of a nation / a. of or relating to the study of the principles of warfare / a. characteristic of or associated with soldiers or the military
militia	mi'liʃә	n. 义勇军, 民兵组织, 国民军	n. civilians trained as soldiers but not part of the regular army / n. the entire body of physically fit civilians eligible by law for military service
milk	milk	n. 奶, 乳状物；vt. 挤乳, 榨取；vi. 产乳	n. a white nutritious liquid secreted by mammals and used as food by human beings / n. produced by mammary glands of female mammals for feeding their young / n. a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
milky	'milki	a. 乳状的, 乳白色的, 柔和的	s. resembling milk in color not clear
mill	mil	n. 压榨机, 磨坊, 制造厂；vt. 碾磨, 磨细, 搅拌, 使乱转；vi. 乱转, 被碾磨	n. Scottish philosopher who expounded Bentham's utilitarianism; father of John Stuart Mill (1773-1836) / n. English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873) / n. machinery that processes materials by grinding or crushing
millennium	mi'leniәm	n. 千禧年, 一千年	n. a span of 1000 years / n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness / n. the 1000th anniversary (or the celebration of it)
million	'miljәn	n. 百万, 无数；num. 百万	n. the number that is represented as a one followed by 6 zeros / n. a very large indefinite number (usually hyperbole) / s. (in Roman numerals, M written with a macron over it) denoting a quantity consisting of 1,000,000 items or units
millionaire	.miljә'nєә	n. 百万富翁, 大富豪；大资本家, 巨富, 百万富翁	n. a person whose material wealth is valued at more than a million dollars
mimic	'mimik	a. 模仿的, 摹拟的；n. 效颦者, 模仿者, 小丑, 仿制品；vt. 模仿, 摹拟	n. someone who mimics (especially an actor or actress) / v. imitate (a person or manner), especially for satirical effect / s. constituting an imitation
mind	maind	n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意；vi. 介意, 注意, 留心；vt. 注意, 留意, 专心于, 照看, 介意	n. that which is responsible for one's thoughts and feelings; the seat of the faculty of reason / n. recall or remembrance / n. attention
mine	main	n. 矿, 矿藏, 地雷；vt. 挖掘, 开采, 在...布雷, 破坏；vi. 开矿, 埋设地雷	n. excavation in the earth from which ores and minerals are extracted / n. explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel / v. get from the earth by excavation
miner	'mainә	n. 矿工, 开矿机, 坑道工兵；矿工	n. laborer who works in a mine
mineral	'minәrәl	n. 矿物, 无机物, 苏打水；a. 矿物的, 似矿物的	n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition / a. relating to minerals / s. composed of matter other than plant or animal
miniature	'miniәtʃә	n. 缩图, 小画像；a. 小规模的, 纤小的	n. painting or drawing included in a book (especially in illuminated medieval manuscripts) / n. a copy that reproduces a person or thing in greatly reduced size / s. being on a very small scale
minimal	'miniml	a. 最小的, 极微的, 最小限度的；最小的, 最低的	a. the least possible
minimize	'minimaiz	vt. 将...减到最少；vt. 最小化；vi. 最小化	v. make small or insignificant / v. cause to seem less serious; play down
minimum	'minimәm	a. 最小的, 最低的；n. 最小值；最小值	n. the smallest possible quantity / n. the point on a curve where the tangent changes from negative on the left to positive on the right
mining	'mainiŋ	n. 采矿；采矿, 采矿业	n. the act of extracting ores or coal etc from the earth / n. laying explosive mines in concealed places to destroy enemy personnel and equipment
minister	'ministә	n. 部长, 牧师, 公使；vi. 服侍, 救助, 主持宗教仪式	n. a person appointed to a high office in the government / n. a diplomat representing one government to another; ranks below ambassador / n. the job of a head of a government department
ministry	'ministri	n. 部, 内阁, 服务；部	n. religious ministers collectively (especially Presbyterian) / n. building where the business of a government department is transacted / n. a government department under the direction of a minister
minor	'mainә	n. 未成年人, 副修科目；a. 较小的, 二流的, 未成年的；vi. 副修	a. of lesser importance or stature or rank / a. lesser in scope or effect / a. inferior in number or size or amount
minority	mai'nɒriti	n. 少数, 未成年, 少数民族；a. 少数的, 属于少数派的	n. a group of people who differ racially or politically from a larger group of which it is a part / n. being or relating to the smaller in number of two parts / n. any age prior to the legal age
minute	'minit. mai'nju:t	n. 分, 分钟, 片刻, 备忘录, 笔记；vt. 记录, 摘录, 测定时间；a. 微小的, 详细的	n. a unit of time equal to 60 seconds or 1/60th of an hour / n. a unit of angular distance equal to a 60th of a degree / n. a short note
miracle	'mirәkl	n. 奇迹, 奇事	n. any amazing or wonderful occurrence / n. a marvellous event manifesting a supernatural act of a divine agent
mirror	'mirә	n. 镜子, 写真, 典范；vt. 反映, 映出	n. polished surface that forms images by reflecting light / n. a faithful depiction or reflection / v. reflect as if in a mirror
miserable	'mizәrәbl	a. 悲惨的；痛苦的；卑鄙的	s. very unhappy; full of misery / s. characterized by physical misery
misery	'mizәri	n. 痛苦, 悲惨, 不幸, 穷困	n. a state of ill-being due to affliction or misfortune / n. a feeling of intense unhappiness
misleading	mis'li:diŋ	a. 引入歧途的, 使人误解的, 骗人的；误写姓名的, 误称的, 令人误解的	v lead someone in the wrong direction or give someone wrong directions / v give false or misleading information to / s designed to deceive or mislead either deliberately or inadvertently
miss	mis	n. 失误, 避免, 失败, 小姐；vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念；vi. 失败, 击不中	n. a failure to hit (or meet or find etc) / n. a form of address for an unmarried woman / v. fail to perceive or to catch with the senses or the mind
missile	'misail	n. 发射物, 导弹, 飞弹, 火箭；a. 可发射的	n. a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
missing	'misiŋ	a. 不见的, 缺少的；行踪不明的, 失踪的, 遗失的	s. not able to be found
mission	'miʃәn	n. 任务, 代表团, 使命, 传教团；vt. 派遣, 向...传教	n. an organization of missionaries in a foreign land sent to carry on religious work / n. an operation that is assigned by a higher headquarters / n. a special assignment that is given to a person or group
missionary	'miʃәnәri	n. 传教士, 负有任务者, 工作人员；a. 传教的, 传教士的	n. someone who attempts to convert others to a particular doctrine or program / n. someone sent on a mission--especially a religious or charitable mission to a foreign country / a. relating to or connected to a religious mission
mist	mist	n. 雾, 迷蒙, 朦胧不清；vt. 使模糊, 使蒙上雾；vi. 变模糊, 下雾	n. a thin fog with condensation near the ground / v. become covered with mist / v. spray finely or cover with mist
mistake	mis'teik	n. 错误, 误会；vi. 犯错, 误认；vt. 误解, 弄错	n. a wrong action attributable to bad judgment or ignorance or inattention / n. an understanding of something that is not correct / v. identify incorrectly
mistress	'mistris	n. 主妇, 女主人, 情妇	n. an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man / n. a woman master who directs the work of others
mix	miks	n. 混合物, 混乱, 糊涂；vt. 使混合, 弄混, 使结合, 混淆；vi. 相混合, 交往, 参与	n. a commercially prepared mixture of dry ingredients / n. an event that combines things in a mixture / n. the act of mixing together
mixed	mikst	a. 混合的, 形形色色的, 弄糊涂的；混合的	v mix together different elements / v open (a place) to members of all races and ethnic groups / v combine (electronic signals)
mixture	'mikstʃә	n. 混合, 混淆, 混合物；混合物	n. (chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
moan	mәun	n. 呻吟, 悲叹；vi. 呻吟, 抱怨, 悲叹；vt. 呻吟着说	n an utterance expressing pain or disapproval / v indicate pain, discomfort, or displeasure
mob	mɒb	n. 暴民, 民众, 暴徒；vt. 大举包围, 蜂拥进入, 围攻；vi. 聚众生事	n. a disorderly crowd of people
mobile	'mәubil	a. 移动的, 易变的, 机动的；n. 活动物体	n. a river in southwestern Alabama; flows into Mobile Bay / n. a port in southwestern Alabama on Mobile Bay / n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
mobility	mәu'biliti	n. 可动性, 流动性, 机动性；迁移率	n. the quality of moving freely
mobilize	'mәubilaiz	vt. 动员, 调动, 使流通；vi. 动员	v. make ready for action or use / v. get ready for war / v. cause to move around
mock	mɒk	n. 嘲笑, 戏弄, 模仿；a. 假的, 伪造的, 模拟的；adv. 虚伪地	n. the act of mocking or ridiculing / v. treat with contempt / v. imitate with mockery and derision
mode	mәud	n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚；方式; DOS外部命令:设定各种设备命令	n. a particular functioning condition or arrangement / n. any of various fixed orders of the various diatonic notes within an octave / n. the most frequent value of a random variable
model	'mɒdәl	n. 模型, 模范, 模特儿；a. 模范的, 作模型用的；vi. 做模型, 做模特儿	n. a hypothetical description of a complex entity or process / n. a type of product / n. a person who poses for a photographer or painter or sculptor
modeling	'mɔdliŋ	n. 模特儿职业, 立体感；建模, 模型化, 模拟	n. a preliminary sculpture in wax or clay from which a finished work can be copied
modem	'mәudem	n. 调制解调器；调制解调器	n. (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
moderate	'mɒdәrәt	a. 适度的, 稳健的, 中等的, 节制的；vt. 节制, 减轻, 使缓和；vi. 变缓和, 主持会议	v. preside over / v. make less fast or intense / a. being within reasonable or average limits; not excessive or extreme
modern	'mɒdәn	n. 现代人, 有思想的人；a. 现代的, 时髦的	n. a contemporary person / n. a typeface (based on an 18th century design by Gianbattista Bodoni) distinguished by regular shape and hairline serifs and heavy downstrokes / a. belonging to the modern era; since the Middle Ages
modest	'mɒdist	a. 谦逊的, 羞怯的, 端庄的, 适度的；适当的	a. marked by simplicity; having a humble opinion of yourself / s. not large but sufficient in size or amount / s. free from pomp or affectation
modification	.mɒdifi'keiʃәn	n. 修正, 修饰, 修改；修饰; 修改	n. slightly modified copy; not an exact copy / n. the grammatical relation that exists when a word qualifies the meaning of the phrase
modified	'mɔdifaid	a. 改良的；改进的, 修改的	a. changed in form or character
modify	'mɒdifai	vt. 修正, 变更, 修饰, 缓和, 减轻；vi. 被修改；修改	v. make less severe or harsh or extreme / v. add a modifier to a constituent
module	'mɒdju:l	n. 组件, 模数；模块	n. detachable compartment of a spacecraft / n. computer circuit consisting of an assembly of electronic components (as of computer hardware) / n. a self-contained component (unit or item) that is used in combination with other components
moist	mɒist	a. 潮湿的, 多雨的, 感伤的, 含泪的；湿的	s slightly wet
moisture	'mɒistʃә	n. 湿气, 水分, 降雨；含水量; 含湿量	n. wetness caused by water
mold	mәuld	n. 模子, 模型, 霉；v. 形成, 塑造, 发霉	n. container into which liquid is poured to create a given shape when it hardens / n. loose soil rich in organic matter / n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter
molecular	mә'lekjulә	a. 分子的, 由分子组成的；分子的	a. relating to or produced by or consisting of molecules / a. relating to simple or elementary organization
molecule	'mɒlikju:l	n. 分子, 些微；分子	n. (physics and chemistry) the simplest structural unit of an element or compound
mom	mʌm	n. 妈妈	n informal terms for a mother
moment	'mәumәnt	n. 片刻, 瞬间, 重要, 阶段, 力矩；片刻, 瞬间, 时机, 因素, 矩	n. a particular point in time / n. an indefinitely short time / n. a turning force produced by an object acting at a distance (or a measure of that force)
momentum	mәu'mentәm	n. 动力, 动量；动量	n. an impelling force or strength / n. the product of a body's mass and its velocity
monetary	'mʌnitәri	a. 货币的, 金钱的；货币的, 金融的	a. relating to or involving money
money	'mʌni	n. 金钱, 一笔款, 财富, 货币, 金额；货币, 金钱, 财产	n. the most common medium of exchange; functions as legal tender / n. wealth reckoned in terms of money / n. the official currency issued by a government or national bank
monitor	'mɒnitә	n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物；v. 监视, 监听, 监督；监视器, 监视程序; 监视	n. an ironclad vessel built by Federal forces to do battle with the Merrimac / n. display produced by a device that takes signals and displays them on a television screen or a computer monitor / n. electronic equipment that is used to check the quality or content of electronic transmissions
monitoring	'mɔnitәriŋ	监控, 监督, 监视；检验, 检查, 控制	n. the act of observing something (and sometimes keeping a record of it)
monk	mʌŋk	n. 修道士, 僧侣, 和尚	n. a male religious living in a cloister and devoting himself to contemplation and prayer and work / n. United States jazz pianist who was one of the founders of the bebop style (1917-1982)
monkey	'mʌŋki	n. 猴子, 猿, 打桩锤；vi. 淘气, 胡闹；vt. 嘲弄	n. any of various long-tailed primates (excluding the prosimians)
monopoly	mә'nɒpәli	n. 垄断, 专卖权, 独占事业；垄断, 专利品, 垄断(权)独占	n. (economics) a market in which there are many buyers but only one seller / n. exclusive control or possession of something / n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die
monster	'mɒnstә	n. 怪物, 恶人, 巨物；畸胎	n. an imaginary creature usually having various human and animal parts / n. a cruel wicked and inhuman person / n. (medicine) a grossly malformed and usually nonviable fetus
month	mʌnθ	n. 月；月	n. a time unit of approximately 30 days
monthly	'mʌnθli	n. 月刊；a. 每月的, 每月一次的	n. a periodical that is published every month (or 12 issues per year) / s. of or occurring or payable every month / r. occurring once a month
monument	'mɒnjumәnt	n. 纪念碑, 纪念物, 石碑	n. an important site that is marked and preserved as public property
mood	mu:d	n. 心情, 气氛, 生气, 基调；心境	n. verb inflections that express how the action or state is conceived by the speaker
moon	mu:n	n. 月亮, 月球, 月光；vi. 闲荡；vt. 虚度	n. the natural satellite of the Earth / n. any object resembling a moon / n. United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)
moonlight	'mu:nlait	n. 月光；a. 有月光的, 月夜的	n. the light of the Moon / v. work a second job, usually after hours
moose	mu:s	n. 麋, 驼鹿	n large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
moral	'mɒrәl	n. 道德, 品行, 寓意；a. 道德的, 品性端正的, 精神上的	n. the significance of a story or event / a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles / s. psychological rather than physical or tangible in effect
morale	mɒ'rɑ:l	n. 士气, 道德	n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morality	mә'ræliti	n. 道德, 教训, 品行；道德, 道义	n. concern with the distinction between good and evil or right and wrong; right or good conduct
morally	'mɒrәli	adv. 道德上, 德性上, 有道德地	r. with respect to moral principles / r. in a moral manner
more	mɒ:	n. 更多；a. 多的, 程度较大的, 更大的；adv. 多, 更多, 进一步	n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state / a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree / a. (comparative of `many' used with count nouns) quantifier meaning greater in number
moreover	mɒ:'әuvә	adv. 而且, 此外	r in addition; furthermore, their quality is improving"; moreover, mice nested there"
morning	'mɒ:niŋ	n. 早晨, 早上, 初期	n. the time period between dawn and noon
mortality	mɒ:'tælәti	n. 必死的命运, 死亡数目, 死亡率；必死性, 死亡率	n. the quality or state of being mortal
mortgage	'mɒ:gidʒ	n. 抵押, 约束性义务, 抵押借款；vt. 抵押, 以...作担保, 把...许给	n. a conditional conveyance of property as security for the repayment of a loan / v. put up as security or collateral
mosque	mɒsk	n. 清真寺	n. (Islam) a Muslim place of worship that usually has a minaret
mosquito	mә'ski:tәu	n. 蚊子；蚊	n. two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
most	mәust	n. 最多, 最大；a. 大多数的, 几乎全部的, 最多的；adv. 最, 最多, 极其	a. (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number / a. the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree / r. used to form the superlative
mostly	'mәustli	adv. 大概, 大部分, 主要；大部份	r in large part; mainly or chiefly / r usually; as a rule
motel	mәu'tel	n. 汽车旅馆	n. a motor hotel
mother	'mʌðә	n. 母亲, 修女院长；vt. 产生, 照看, 收养	n. a woman who has given birth to a child (also used as a term of address to your mother) / n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar / n. a term of address for an elderly woman
motif	mәu'ti:f	n. 主题, 基调, 动机, 基本图案；主旨, 主题, 动机	n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration / n. a theme that is repeated or elaborated in a piece of music
motion	'mәuʃәn	n. 移动, 手势, 动作, 意向, 请求, 提议；v. 打手势	n. a change of position that does not entail a change of location / n. a state of change / n. a formal proposal for action made to a deliberative assembly for discussion and vote
motivate	'mәutiveit	vt. 给与动机, 刺激, 提高...的学习欲望, 促动；促动, 激发, 激励	v. give an incentive for action
motivation	.mәuti'veiʃәn	n. 动机, 刺激, 推动；促动, 推动, 诱导	n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior / n. the condition of being motivated / n. the act of motivating; providing incentive
motive	'mәutiv	n. 动机, 目的, 主题, 基调；a. 运动的, 成为动机的	s. causing or able to cause motion
motor	'mәutә	n. 马达, 发动机, 原动力, 汽车；a. 马达的, 发动机的, 汽车的, 发动的；vt. 推动, 以汽车载运	n. machine that converts other forms of energy into mechanical energy and so imparts motion / n. a nonspecific agent that imparts motion
motorcycle	'mәutәsaikl	n. 摩托车；机动车, 机踏车, 摩托车	n. a motor vehicle with two wheels and a strong frame
mound	maund	n. 土墩, 堤, 小山；vt. 筑堤, 用土堆防卫；vi. 积成堆	n. (baseball) the slight elevation on which the pitcher stands / n. structure consisting of an artificial heap or bank usually of earth or stones / v. form into a rounded elevation
mount	maunt	n. 乘骑用马, 框, 衬纸, 山；vi. 乘马, 爬上, 增长；vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演	n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place / v. attach to a support / v. fix onto a backing, setting, or support
mountain	'mauntin	n. 山, 山脉, 大堆	n. a land mass that projects well above its surroundings; higher than a hill
mourn	mɒ:n	v. 哀悼, 忧伤, 服丧	v. feel sadness / v. observe the customs of mourning after the death of a loved one
mouse	maus	n. 老鼠, 胆小羞怯的人, 鼠标；vi. 捕鼠, 窥探；vt. 探出	n. any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails / n. person who is quiet or timid / n. a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad
mouth	mauθ	n. 嘴, 口, 口腔, 口状物；vi. 装腔作势说话, 做鬼脸；vt. 说出, 做作地说	n. the opening through which food is taken in and vocalizations emerge / n. the externally visible part of the oral cavity on the face and the system of organs surrounding the opening / n. an opening that resembles a mouth (as of a cave or a gorge)
move	mu:v	n. 移动, 迁居, 步骤；vt. 移动, 开动, 感动, 搬(家)；vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手	n. the act of deciding to do something / n. the act of changing your residence or place of business / n. (game) a player's turn to take some action permitted by the rules of the game
movement	'mu:vmәnt	n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章；运动	n. a natural event that involves a change in the position or location of something / n. a group of people with a common ideology who try together to achieve certain general goals / n. a major self-contained part of a symphony or sonata
movie	'mu:vi	n. 电影	n. a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
moving	'mu:viŋ	a. 动人的, 令人感动的, 鼓动的, 原动的, 活动的, 转动的	a. in motion / a. arousing or capable of arousing deep emotion / a. used of a series of photographs presented so as to create the illusion of motion
Mr	'mistә(r)	先生；存储器回收程序, 多重请求	n a form of address for a man
Mrs	'misiz	太太	n. a form of address for a married woman
MS	miz	美国微软公司；主存储器, 制造系统, 毫秒, 微软公司	n. a form of address for a woman
much	mʌtʃ	n. 大量, 许多, 重要的事；a. 很多的, 重要的；adv. 多, 甚, 几乎	n. a great amount or extent / a. (quantifier used with mass nouns) great in quantity or degree or extent / r. to a great degree or extent
mud	mʌd	n. 泥, 诽谤；vt. 弄脏	n. water soaked soil; soft wet earth / n. slanderous remarks or charges / v. plaster with mud
muddy	'mʌdi	a. 泥泞的, 浑浊的, 模糊的；vt. 使污浊, 使沾上泥污	v. dirty with mud / v. cause to become muddy / v. make turbid
mug	mʌg	n. 有柄大杯, 脸, 苦读者；vt. 给...拍照, 攻击, 苦读；vi. 拼命用功	n. the quantity that can be held in a mug / n. with handle and usually cylindrical / v. rob at gunpoint or with the threat of violence
mule	mju:l	n. 骡, 倔强之人	n. hybrid offspring of a male donkey and a female horse; usually sterile / n. a slipper that has no fitting around the heel
multicultural	.mʌlti'kʌltʃәrәl	a. 融合或具有多种文化的；多种文化的	a. of or relating to or including several cultures
multimedia	.mʌlti'mi:diә	n. 多媒体；多媒体	n. transmission that combine media of communication (text and graphics and sound etc.)
multinational	.mʌlti'næʃәnl	a. 多国的, 跨国公司的；n. 跨国公司	s. involving or operating in several nations or nationalities
multiple	'mʌltipl	n. 倍数, 并联；a. 多样的, 许多的, 多功能的	n. the product of a quantity by an integer / a. having or involving or consisting of more than one part or entity or individual
multiply	'mʌltiplai	v. 繁殖, 乘, 增加；乘	v. combine by multiplication / v. combine or increase by multiplication / r. in several ways; in a multiple manner
mumble	'mʌmbl	n. 喃喃而语, 咕哝；v. 喃喃而语, 咕哝	n. a soft indistinct utterance / v. talk indistinctly; usually in a low voice / v. grind with the gums; chew without teeth and with great difficulty
municipal	mju:'nisipl	a. 市政的, 自治区的, 内政的；市政的, 市的	a. relating or belonging to or characteristic of a municipality / s. of or relating to the government of a municipality
mural	'mjuәrәl	a. 壁的, 壁上的, 壁似的；n. 壁画	n. a painting that is applied to a wall surface / a. of or relating to walls
murder	'mә:dә	n. 谋杀；vt. 谋杀, 损毁, 破坏；vi. 犯杀人罪	n. unlawful premeditated killing of a human being by a human being / v. kill intentionally and with premeditation
murderer	'mә:dәrә	n. 凶手, 杀人者, 谋害者；谋杀犯, 凶手	n. a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)
murmur	'mә:mә	n. 低语, 低声的怨言；vi. 低语, 低声而言；vt. 低声说	v. speak softly or indistinctly / v. make complaining remarks or noises under one's breath
muscle	'mʌsl	n. 肌肉, 臂力；肌	n. one of the contractile organs of the body / n. animal tissue consisting predominantly of contractile cells / n. authority or power or force (especially when used in a coercive way)
muscular	'mʌskjulә	a. 强壮的, 肌肉发达的, 有力的；肌的; 肌肉发达的	a. of or relating to or consisting of muscle / s. having or suggesting great physical power or force
